"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"AAAE","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","AAA ENERGY INC","N","N","USA","AAA Energy, Inc."
"AAAIF","Grey Market","12/11/2013","Grey Market","N","Fund","","ALTERNATIVE INVESTMENT TR","N","N","","Alternative Investment Trust"
"AAALF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","AAREAL BANK AG AKT","N","N","Germany","Aareal Bank AG"
"AAALY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","AAREAL BANK AG UNSP/ADR","N","N","Germany","Aareal Bank AG"
"AAARF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ALUAR ALUMINIO ARGENT 1V","N","N","","Aluar Aluminio Argentino S.A.I.C."
"AABB","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","A","ASIA BROADBAND INC","N","N","USA","Asia Broadband, Inc."
"AABGF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","AGRANA BETEILIGUNGS AG","N","N","","Agrana Beteiligungs AG"
"AABNF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ALTIN AG BAAR NAMEN AKT","N","N","","Altin AG Baar Namen-AKT"
"AABVF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","ABERDEEN INTL INC","N","N","Canada","Aberdeen International Inc."
"AACAF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","AAC TECHS HLDGS INC ORD","N","N","China","AAC Technologies Holdings Inc"
"AACAY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","AAC TECHS HLDGS UNSP/ADR","N","N","China","AAC Technologies Holdings Inc"
"AACEY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","ASIA CMNT HLDGS UNSP/ADR","N","N","Taiwan","Asia Cement (China) Holdings Corp"
"AACMY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","ASIA CEMENT CORP LTD 144A","N","N","","Asia Cement Corp., Ltd."
"AACS","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AMER COMMERCE SOLTNS INC","N","N","USA","American Commerce Solutions, Inc."
"AACTF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","ACT AURORA CTL TECHS CORP","N","N","Canada","ACT Aurora CTL Technologies Corp"
"AADG","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","ASIAN DRAGON GRP INC","N","N","USA","Asian Dragon Group, Inc."
"AADI","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","AMERICAN ASSET DEV INC","N","N","USA","American Asset Development, Inc."
"AAEEF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ALTAIR GOLD INC ORD","N","N","","Altair Gold, Inc."
"AAEH","OTC Link","12/11/2013","OTC Pink Current","N","Common Stock","","ALL AMERICAN ENERGY HLDGS","N","N","USA","All American Energy Holding, Inc."
"AAGC","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","ALL AMERICAN GOLD CORP","N","N","USA","All American Gold Corp."
"AAGH","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","ASIA GLOBAL HOLDINGS CORP","N","N","Hong Kong","Asia Global Holdings Corp."
"AAGIY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","AIA GROUP LTD S/ADR","N","N","Hong Kong","AIA Group, Ltd."
"AAGLF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","AURORA OIL LTD ORD","N","N","","Aurora Oil & Gas Ltd."
